DATE_OF_INTEREST,MN_CASE_COUNT,MN_HOSPITALIZED_COUNT,MN_DEATH_COUNT,QN_CASE_COUNT,QN_HOSPITALIZED_COUNT,QN_DEATH_COUNT,BK_CASE_COUNT,BK_HOSPITALIZED_COUNT,BK_DEATH_COUNT,BX_CASE_COUNT,BX_HOSPITALIZED_COUNT,BX_DEATH_COUNT,SI_CASE_COUNT,SI_HOSPITALIZED_COUNT,SI_DEATH_COUNT
02/29/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2020,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
03/04/2020,2,1,0,2,0,0,1,1,0,0,0,0,0,0,0
03/05/2020,0,3,0,0,3,0,3,2,0,0,0,0,0,0,0
03/06/2020,3,1,0,1,1,0,1,1,0,2,1,0,1,1,0
03/07/2020,1,1,0,3,2,0,2,2,0,0,1,0,1,0,0
03/08/2020,6,1,0,6,5,0,5,7,0,3,2,0,1,0,0
03/09/2020,24,7,0,10,5,0,16,11,0,4,6,0,3,1,0
03/10/2020,24,12,0,24,18,0,11,10,0,8,4,0,2,4,0
03/11/2020,62,16,0,40,26,1,31,10,0,19,19,0,3,2,0
03/12/2020,137,12,0,80,25,0,96,28,0,29,12,0,13,2,0
03/13/2020,182,30,0,166,45,0,166,36,0,79,30,0,26,3,0
03/14/2020,176,28,0,194,59,1,163,38,1,86,24,0,23,6,0
03/15/2020,206,32,2,230,67,1,433,46,0,119,35,1,47,16,1
03/16/2020,457,43,0,528,110,4,740,92,1,305,69,3,91,16,0
03/17/2020,567,67,0,651,114,3,783,96,4,343,63,1,108,19,0
03/18/2020,538,82,4,834,158,9,966,120,6,482,107,1,150,24,0
03/19/2020,556,96,4,1065,169,6,1204,152,6,623,126,4,258,28,4
03/20/2020,653,116,11,1184,236,9,1137,199,11,723,119,13,310,31,3
03/21/2020,398,117,5,947,239,14,554,183,12,490,162,12,248,35,1
03/22/2020,317,133,8,696,240,14,755,193,10,494,168,12,317,29,6
03/23/2020,532,189,7,1189,354,28,910,297,27,730,221,12,209,50,8
03/24/2020,620,208,17,1392,379,35,1212,343,23,927,267,14,350,47,6
03/25/2020,587,204,20,1572,433,32,1254,409,37,1067,298,30,394,52,4
03/26/2020,628,233,33,1642,453,60,1374,483,50,999,322,37,404,52,10
03/27/2020,656,218,42,1576,449,58,1423,454,75,1090,317,36,371,64,7
03/28/2020,388,204,28,1200,462,93,863,399,78,762,321,62,266,53,13
03/29/2020,407,165,35,1076,481,95,1149,447,90,701,321,55,230,58,17
03/30/2020,806,278,34,1857,584,99,1754,558,106,1313,341,75,398,74,11
03/31/2020,617,238,43,1809,585,96,1514,528,126,1283,384,98,237,69,22
04/01/2020,573,210,59,1784,579,144,1589,506,135,1240,386,94,263,76,16
04/02/2020,652,246,62,1823,600,140,1613,435,170,1291,368,97,369,83,30
04/03/2020,672,266,51,1762,542,160,1441,440,142,1450,374,116,345,66,29
04/04/2020,384,211,64,1201,502,158,922,361,163,1011,302,107,345,54,20
04/05/2020,358,195,86,1135,422,182,1141,386,167,823,323,123,323,68,22
04/06/2020,722,266,69,1925,554,201,1462,500,169,1514,403,112,730,82,24
04/07/2020,605,202,92,1948,560,183,1396,505,181,1464,348,115,630,71,28
04/08/2020,547,185,66,1855,537,182,1310,450,173,1306,387,114,562,59,34
04/09/2020,559,204,65,1561,477,173,1369,433,190,1283,314,108,298,54,25
04/10/2020,497,203,69,1333,469,156,1153,358,178,1228,308,118,300,57,19
04/11/2020,303,136,59,989,380,163,1129,316,159,998,278,133,312,51,28
04/12/2020,252,142,62,918,332,174,701,271,200,763,242,110,253,46,26
04/13/2020,393,195,71,976,367,194,1065,355,158,692,290,122,185,57,25
04/14/2020,441,173,59,1302,387,163,1035,291,152,1076,228,111,290,49,24
04/15/2020,429,154,55,1180,305,150,882,292,132,1069,215,94,317,37,24
04/16/2020,356,120,56,1140,296,132,884,249,126,939,197,86,210,40,14
04/17/2020,330,119,41,1098,285,122,960,258,118,916,200,89,280,36,15
04/18/2020,187,95,57,705,215,136,575,179,116,552,151,62,153,26,19
04/19/2020,177,76,48,868,192,136,635,144,118,532,143,78,134,32,19
04/20/2020,381,91,49,1223,215,126,983,203,95,981,170,78,224,30,16
04/21/2020,373,100,47,937,207,103,896,169,92,641,152,70,216,26,11
04/22/2020,383,107,37,1109,168,86,854,155,108,928,127,68,173,19,14
04/23/2020,401,67,47,792,144,107,786,150,106,734,122,59,128,21,13
04/24/2020,408,84,47,775,149,98,629,139,93,580,113,62,143,32,14
04/25/2020,146,47,41,540,106,82,405,99,76,417,92,56,88,22,9
04/26/2020,98,48,34,331,114,89,332,81,61,196,79,55,46,17,7
04/27/2020,303,62,30,721,105,90,608,105,88,550,102,53,106,20,9
04/28/2020,322,65,35,895,112,73,711,103,57,669,95,56,130,20,8
04/29/2020,287,44,33,692,90,81,681,96,72,557,82,40,124,15,14
04/30/2020,217,37,35,593,91,68,600,76,66,482,65,45,130,14,11
05/01/2020,243,39,24,620,91,77,497,74,56,449,79,45,78,9,8
05/02/2020,138,20,23,333,78,61,263,53,45,263,56,49,61,18,12
05/03/2020,103,35,35,248,67,55,247,55,45,153,47,27,35,12,15
05/04/2020,214,38,19,437,67,55,462,73,42,349,59,35,89,16,8
05/05/2020,244,30,18,462,55,46,433,63,49,294,68,27,79,13,12
05/06/2020,165,26,17,444,58,59,450,69,38,279,60,29,60,16,8
05/07/2020,118,21,23,358,56,41,403,63,46,298,44,28,60,14,4
05/08/2020,99,23,13,345,55,48,344,64,43,252,54,22,42,12,5
05/09/2020,75,17,14,256,44,33,119,41,28,175,37,21,32,7,3
05/10/2020,95,22,19,85,17,37,188,36,26,75,27,13,14,6,8
05/11/2020,192,24,14,376,60,27,410,59,33,226,47,27,27,2,3
05/12/2020,163,22,14,314,30,18,400,40,33,355,33,20,53,11,6
05/13/2020,157,21,8,308,30,30,362,51,23,461,35,16,47,14,6
05/14/2020,149,22,16,331,48,23,334,40,14,256,25,11,42,11,6
05/15/2020,135,23,11,266,35,27,259,46,27,182,29,16,33,7,6
05/16/2020,52,11,10,136,32,21,165,28,24,108,15,26,25,5,2
05/17/2020,50,8,11,106,28,26,137,15,19,56,27,19,10,5,2
05/18/2020,131,21,9,273,35,21,266,29,17,188,21,10,38,6,2
05/19/2020,167,23,10,286,25,12,328,41,16,181,33,12,42,5,5
05/20/2020,165,12,12,255,16,25,323,31,21,278,25,15,56,4,7
05/21/2020,145,9,6,311,21,9,336,39,15,199,17,12,78,9,3
05/22/2020,152,15,5,240,27,28,351,42,15,264,27,12,32,4,5
05/23/2020,49,7,7,137,21,14,143,22,20,90,19,17,37,4,2
05/24/2020,69,19,6,121,16,13,161,21,12,102,21,13,15,5,5
05/25/2020,70,17,12,115,19,12,160,24,14,105,23,8,17,3,2
05/26/2020,126,10,6,267,22,9,319,21,12,284,20,10,57,2,1
05/27/2020,108,14,9,165,26,18,246,23,10,182,17,9,43,4,2
05/28/2020,99,10,3,178,22,10,221,30,12,118,11,12,30,6,1
05/29/2020,73,12,5,212,30,14,168,20,16,166,26,6,27,4,2
05/30/2020,38,7,12,109,17,17,106,18,11,80,13,13,16,2,1
05/31/2020,25,9,4,79,21,16,84,18,11,30,14,6,12,0,2
06/01/2020,77,12,3,157,17,16,252,33,10,159,14,3,42,3,3
06/02/2020,71,11,8,163,18,15,185,24,6,121,12,8,34,5,1
06/03/2020,78,13,7,148,20,9,133,26,13,112,18,11,45,4,3
06/04/2020,88,10,8,148,23,9,131,26,10,126,13,4,30,2,2
06/05/2020,53,11,7,103,18,5,132,17,6,108,10,9,8,2,1
06/06/2020,32,5,2,98,13,11,59,10,10,50,11,12,7,2,0
06/07/2020,25,9,1,74,8,10,52,18,6,43,15,7,4,4,1
06/08/2020,75,9,2,147,22,14,112,19,13,97,10,10,20,2,0
06/09/2020,67,9,9,130,13,10,121,22,6,84,14,6,19,3,2
06/10/2020,69,13,1,109,17,8,97,17,11,76,10,9,14,3,2
06/11/2020,54,10,2,117,15,8,114,15,4,65,14,6,16,2,1
06/12/2020,58,8,3,131,13,10,123,21,6,80,15,5,18,2,0
06/13/2020,24,5,3,73,16,2,52,11,4,46,5,5,2,1,1
06/14/2020,28,6,2,68,14,6,53,12,7,27,11,7,4,0,2
06/15/2020,59,4,3,122,15,6,102,22,4,79,15,5,18,0,2
06/16/2020,67,7,3,120,20,7,133,24,5,80,10,3,20,1,0
06/17/2020,65,8,3,93,16,8,113,13,7,68,13,2,17,0,0
06/18/2020,58,6,4,123,22,6,112,16,4,60,10,1,25,2,2
06/19/2020,56,6,4,123,11,4,91,23,3,83,13,3,9,0,2
06/20/2020,44,5,2,54,10,6,46,9,3,53,5,5,6,1,2
06/21/2020,26,6,4,58,11,11,54,18,6,25,5,5,9,2,2
06/22/2020,62,7,4,119,13,9,109,20,7,90,12,2,18,2,3
06/23/2020,77,5,5,122,12,5,95,16,9,73,11,8,16,2,0
06/24/2020,73,7,3,103,16,8,101,16,11,89,7,2,14,3,1
06/25/2020,46,6,4,79,12,4,82,11,5,64,13,4,28,3,2
06/26/2020,63,4,6,76,8,5,94,17,3,65,10,5,16,2,1
06/27/2020,37,6,2,60,6,6,70,19,11,27,7,1,13,2,1
06/28/2020,41,3,7,58,12,6,58,11,1,35,9,3,11,0,2
06/29/2020,80,3,1,133,13,7,127,24,5,75,8,7,23,2,3
06/30/2020,94,9,4,113,14,8,128,17,5,77,7,3,29,2,2
07/01/2020,83,8,2,93,13,3,120,13,5,62,9,1,39,0,1
07/02/2020,81,6,9,118,18,5,129,14,3,73,10,2,17,0,4
07/03/2020,49,7,2,65,4,6,74,13,4,41,3,7,8,1,2
07/04/2020,32,9,2,32,8,3,23,9,6,21,5,2,12,1,1
07/05/2020,32,6,3,38,12,2,53,3,5,19,4,6,12,0,0
07/06/2020,78,6,4,119,20,4,142,23,4,67,9,4,28,2,0
07/07/2020,87,9,2,106,14,4,123,7,4,112,18,2,32,1,1
07/08/2020,120,7,3,88,5,5,121,12,5,83,7,3,25,1,4
07/09/2020,86,7,2,94,11,1,104,12,4,90,19,3,18,1,0
07/10/2020,49,1,1,90,14,1,91,16,3,67,9,4,13,3,1
07/11/2020,46,5,4,86,8,5,72,14,2,40,5,2,13,0,0
07/12/2020,42,3,0,70,7,5,55,10,4,44,8,2,13,0,0
07/13/2020,79,7,5,138,12,5,123,14,2,109,12,5,35,4,0
07/14/2020,80,7,1,122,13,3,111,9,4,68,11,2,19,1,0
07/15/2020,70,4,1,90,11,7,150,18,2,107,9,3,22,2,0
07/16/2020,89,6,1,109,6,3,90,10,3,94,11,1,35,3,0
07/17/2020,110,9,3,105,17,8,106,16,0,75,11,2,23,1,0
07/18/2020,37,6,2,49,8,2,58,7,5,55,7,1,19,1,0
07/19/2020,34,2,3,46,13,0,40,9,3,38,7,1,17,2,0
07/20/2020,80,4,2,109,7,3,85,9,4,95,11,2,32,3,0
07/21/2020,68,2,0,100,6,2,79,11,5,71,6,4,21,3,0
07/22/2020,59,4,0,76,12,4,96,13,1,79,7,3,20,2,0
07/23/2020,65,12,0,63,7,4,84,10,5,69,5,0,27,4,0
07/24/2020,56,5,0,75,11,1,68,12,2,73,10,2,28,2,1
07/25/2020,34,3,1,46,6,2,35,9,2,25,12,6,13,4,0
07/26/2020,18,6,0,33,5,2,40,7,4,30,7,2,19,2,0
07/27/2020,73,6,1,78,10,1,80,14,2,58,12,1,26,1,0
07/28/2020,58,2,2,73,8,4,106,18,1,58,9,5,18,3,0
07/29/2020,56,6,1,68,6,1,72,11,1,80,5,1,13,2,1
07/30/2020,44,3,1,61,9,0,98,17,2,56,6,1,12,1,0
07/31/2020,52,9,1,60,6,1,79,10,1,55,6,2,18,2,0
08/01/2020,33,5,1,54,3,1,58,15,3,37,6,3,7,2,0
08/02/2020,25,4,0,33,11,0,41,9,2,30,6,0,8,4,0
08/03/2020,56,6,1,84,9,1,93,12,0,96,13,1,19,1,0
08/04/2020,38,5,1,46,6,2,49,14,2,47,13,1,7,1,0
08/05/2020,47,2,3,79,12,3,94,14,0,65,10,2,15,0,0
08/06/2020,55,5,1,67,8,2,88,10,2,67,9,1,18,2,0
08/07/2020,50,4,0,57,7,2,92,9,0,53,7,2,6,0,0
08/08/2020,23,1,4,43,4,0,57,5,1,30,6,1,7,1,0
08/09/2020,18,4,0,36,5,2,48,10,0,19,7,1,12,1,0
08/10/2020,49,4,1,76,6,2,74,13,1,89,8,2,22,2,0
08/11/2020,42,1,2,51,4,2,82,8,1,71,10,1,18,3,0
08/12/2020,43,7,0,86,10,0,114,11,0,59,6,2,18,2,0
08/13/2020,51,7,0,67,10,0,87,14,2,59,9,1,12,0,0
08/14/2020,45,5,1,69,16,0,80,11,1,68,6,1,16,2,1
08/15/2020,25,1,2,42,4,0,33,8,2,42,8,3,9,2,0
08/16/2020,22,1,0,39,5,2,49,5,1,23,12,2,7,1,0
08/17/2020,57,4,1,92,12,2,94,8,1,71,9,1,14,0,1
08/18/2020,62,2,0,87,15,0,65,9,0,54,15,2,14,2,0
08/19/2020,52,9,0,69,5,1,68,14,1,50,4,0,18,0,0
08/20/2020,33,4,0,56,12,2,55,7,3,63,11,2,20,1,0
08/21/2020,51,5,0,60,8,3,75,9,0,52,9,0,14,0,0
08/22/2020,30,6,1,35,7,1,35,7,2,29,6,1,7,0,1
08/23/2020,16,3,1,40,10,0,55,5,0,32,2,3,7,1,0
08/24/2020,50,7,1,83,6,0,85,6,1,64,10,5,15,2,1
08/25/2020,54,6,0,69,10,0,83,14,2,64,11,3,12,0,0
08/26/2020,51,2,1,66,4,3,116,11,1,64,6,1,16,3,0
08/27/2020,48,2,0,61,11,0,95,8,0,52,8,1,13,2,0
08/28/2020,52,2,1,51,6,1,78,9,1,77,4,3,21,1,0
08/29/2020,23,0,0,32,5,1,38,9,1,28,7,1,7,1,1
08/30/2020,36,3,0,42,6,2,60,4,2,21,2,5,24,4,0
08/31/2020,51,5,0,77,13,0,116,13,0,46,8,3,21,1,0
09/01/2020,55,2,1,72,6,1,92,8,0,52,5,2,24,1,1
09/02/2020,48,1,1,69,8,1,96,11,3,42,3,2,17,0,0
09/03/2020,35,1,1,90,8,1,91,9,2,40,2,2,17,1,0
09/04/2020,30,2,1,59,11,2,71,10,1,43,7,0,26,2,0
09/05/2020,22,1,0,34,3,0,46,9,3,30,7,0,24,0,0
09/06/2020,27,1,1,61,6,2,88,13,2,18,3,2,13,1,0
09/07/2020,41,4,1,52,8,1,74,7,0,32,5,1,19,1,0
09/08/2020,58,1,0,96,7,0,128,9,1,81,7,1,30,1,0
09/09/2020,69,3,0,83,9,1,119,11,0,56,5,2,25,0,0
09/10/2020,57,2,0,70,8,1,124,9,0,45,3,2,26,4,0
09/11/2020,54,6,0,77,7,0,111,8,1,55,11,3,16,2,0
09/12/2020,36,3,0,61,4,3,50,4,0,35,2,3,19,1,0
09/13/2020,41,0,0,66,5,1,117,8,2,19,2,0,14,1,0
09/14/2020,68,6,0,98,5,2,167,11,2,73,4,1,26,3,0
09/15/2020,45,5,0,72,5,1,151,11,0,54,11,2,18,0,0
09/16/2020,54,3,1,81,12,3,165,24,0,49,7,2,17,1,1
09/17/2020,53,5,1,93,5,1,126,9,1,59,7,1,26,1,0
09/18/2020,42,5,0,66,6,0,109,14,2,45,12,2,24,1,0
09/19/2020,26,6,1,54,7,1,36,7,2,30,2,1,13,1,0
09/20/2020,25,4,1,28,4,1,60,6,1,23,8,0,21,2,0
09/21/2020,57,1,1,115,5,0,248,10,1,69,5,1,24,2,0
09/22/2020,50,1,0,100,9,0,174,13,3,59,8,0,25,0,0
09/23/2020,73,1,1,104,10,0,238,25,1,80,5,1,37,0,1
09/24/2020,58,4,1,88,9,0,232,11,1,63,6,0,26,3,0
09/25/2020,67,6,1,124,10,1,188,20,0,48,11,2,28,1,0
09/26/2020,35,4,0,61,12,1,107,8,1,42,5,4,33,2,0
09/27/2020,35,1,0,103,8,0,183,15,2,32,5,0,28,3,0
09/28/2020,58,3,0,109,13,1,139,13,2,80,5,1,46,1,0
09/29/2020,81,8,0,174,15,2,335,17,3,64,6,3,34,4,0
09/30/2020,86,8,1,134,9,0,275,32,4,52,1,2,40,0,0
10/01/2020,87,4,0,134,6,4,293,22,1,76,3,0,25,1,0
10/02/2020,77,5,0,139,11,1,264,23,1,80,5,2,35,2,0
10/03/2020,46,5,0,96,6,2,80,11,1,34,2,1,17,2,1
10/04/2020,29,4,0,84,10,3,163,23,3,36,4,0,26,3,1
10/05/2020,83,1,0,195,17,0,439,23,0,93,10,3,38,2,0
10/06/2020,77,9,0,144,11,1,248,22,1,67,6,0,29,2,0
10/07/2020,75,5,1,131,11,1,222,22,1,75,8,1,37,0,0
10/08/2020,79,6,0,110,9,2,215,16,2,82,8,1,32,3,0
10/09/2020,72,2,0,143,15,1,182,28,0,92,6,2,30,3,0
10/10/2020,45,4,0,98,5,2,94,18,0,36,3,1,34,4,1
10/11/2020,29,5,2,85,11,1,113,15,2,38,12,3,14,1,0
10/12/2020,86,6,4,114,11,1,219,28,1,53,2,1,37,0,1
10/13/2020,98,3,0,125,15,0,222,22,3,91,9,0,45,5,0
10/14/2020,82,6,0,159,19,0,207,21,3,90,5,3,33,6,0
10/15/2020,89,3,2,142,19,3,235,34,2,91,13,2,39,2,0
10/16/2020,90,3,1,132,10,1,163,19,3,75,8,1,37,5,0
10/17/2020,59,4,0,106,11,1,88,10,3,64,8,2,39,6,0
10/18/2020,37,3,0,117,13,0,175,18,1,45,5,2,33,3,1
10/19/2020,100,7,0,176,16,0,204,25,6,104,9,0,35,4,1
10/20/2020,102,7,0,151,22,3,215,30,2,91,9,1,38,3,0
10/21/2020,113,6,1,187,11,0,199,16,3,95,11,0,50,5,1
10/22/2020,133,8,0,173,13,0,241,11,2,120,7,0,75,4,0
10/23/2020,77,3,1,158,17,1,192,23,0,113,10,1,44,4,1
10/24/2020,58,6,0,101,8,1,114,24,0,70,10,0,31,4,0
10/25/2020,50,2,2,86,7,0,127,22,3,66,8,3,29,4,1
10/26/2020,114,6,1,151,22,1,215,12,1,130,7,0,67,5,0
10/27/2020,118,3,1,177,7,1,229,21,3,118,8,3,76,3,0
10/28/2020,127,2,0,190,9,0,220,16,3,122,8,0,85,3,1
10/29/2020,109,6,1,150,9,1,185,15,2,94,9,0,50,5,0
10/30/2020,98,7,1,148,15,0,182,11,4,111,12,2,71,5,2
10/31/2020,53,6,0,112,13,2,107,11,2,59,8,0,48,3,0
11/01/2020,60,8,0,96,6,0,214,17,6,53,6,2,40,7,1
11/02/2020,131,9,1,207,11,1,309,17,6,149,15,1,81,3,0
11/03/2020,128,10,1,166,13,2,254,21,5,130,13,3,78,1,0
11/04/2020,140,8,0,225,9,1,249,17,5,137,9,0,109,4,0
11/05/2020,96,5,0,190,9,0,160,13,3,85,9,3,50,1,0
11/06/2020,64,1,0,90,0,0,81,0,2,48,2,2,21,0,1
11/07/2020,7,0,0,7,0,0,3,0,0,4,0,0,0,0,0
