DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG,INCOMPLETE
02/29/2020,1,0,0,,
03/03/2020,1,1,0,,
03/04/2020,5,2,0,,
03/05/2020,3,8,0,,
03/06/2020,8,5,0,,
03/07/2020,7,6,0,,
03/08/2020,21,15,0,7,
03/09/2020,57,30,0,15,
03/10/2020,70,49,0,24,
03/11/2020,155,73,1,46,
03/12/2020,357,79,0,96,
03/13/2020,619,145,0,184,
03/14/2020,642,156,2,274,
03/15/2020,1036,196,5,419,
03/16/2020,2121,330,8,714,
03/17/2020,2452,360,8,1055,
03/18/2020,2971,491,20,1457,
03/19/2020,3707,571,24,1935,
03/20/2020,4007,701,47,2419,
03/21/2020,2637,736,44,2704,
03/22/2020,2580,763,50,2925,
03/23/2020,3570,1111,82,3132,
03/24/2020,4503,1244,95,3425,
03/25/2020,4874,1396,123,3697,
03/26/2020,5048,1543,190,3888,
03/27/2020,5118,1502,218,4047,
03/28/2020,3479,1439,274,4167,
03/29/2020,3563,1472,292,4308,
03/30/2020,6130,1835,325,4674,
03/31/2020,5461,1804,385,4810,
04/01/2020,5450,1757,448,4893,
04/02/2020,5748,1732,500,4993,
04/03/2020,5670,1688,498,5072,
04/04/2020,3866,1431,512,5127,
04/05/2020,3782,1394,580,5158,
04/06/2020,6353,1805,575,5190,
04/07/2020,6043,1686,599,5273,
04/08/2020,5581,1618,569,5292,
04/09/2020,5071,1482,561,5195,
04/10/2020,4512,1395,540,5030,
04/11/2020,3732,1161,542,5011,
04/12/2020,2888,1033,572,4883,
04/13/2020,3313,1265,570,4449,
04/14/2020,4146,1128,510,4178,
04/15/2020,3878,1003,455,3934,
04/16/2020,3529,902,414,3714,
04/17/2020,3584,898,385,3581,
04/18/2020,2172,666,390,3359,
04/19/2020,2346,587,399,3281,
04/20/2020,3794,709,364,3350,
04/21/2020,3064,654,324,3195,
04/22/2020,3461,577,313,3136,
04/23/2020,2842,504,332,3038,
04/24/2020,2535,517,315,2888,
04/25/2020,1597,366,264,2806,
04/26/2020,1003,339,246,2614,
04/27/2020,2289,394,270,2399,
04/28/2020,2728,396,229,2351,
04/29/2020,2341,327,240,2191,
04/30/2020,2022,283,225,2074,
05/01/2020,1888,292,210,1981,
05/02/2020,1058,225,191,1904,
05/03/2020,786,216,177,1873,
05/04/2020,1551,253,159,1768,
05/05/2020,1512,229,152,1594,
05/06/2020,1398,229,151,1459,
05/07/2020,1238,198,142,1347,
05/08/2020,1082,208,131,1232,
05/09/2020,658,146,99,1175,
05/10/2020,458,108,103,1128,
05/11/2020,1231,192,104,1082,
05/12/2020,1285,136,91,1050,
05/13/2020,1335,151,83,1041,
05/14/2020,1112,146,70,1023,
05/15/2020,875,140,87,993,
05/16/2020,486,91,83,969,
05/17/2020,359,83,77,955,
05/18/2020,897,112,59,907,
05/19/2020,1004,127,55,867,
05/20/2020,1077,88,80,830,
05/21/2020,1069,95,45,824,
05/22/2020,1039,115,65,847,
05/23/2020,456,73,60,843,
05/24/2020,468,82,49,859,
05/25/2020,467,86,48,797,
05/26/2020,1053,75,38,804,
05/27/2020,745,84,48,757,
05/28/2020,646,79,38,696,
05/29/2020,646,92,43,640,
05/30/2020,349,57,54,625,
05/31/2020,230,62,39,591,
06/01/2020,687,79,35,622,
06/02/2020,574,70,38,554,
06/03/2020,516,81,43,521,
06/04/2020,523,74,33,504,
06/05/2020,404,58,28,469,
06/06/2020,246,41,35,454,
06/07/2020,198,54,25,450,
06/08/2020,451,62,39,416,
06/09/2020,421,61,33,394,
06/10/2020,365,60,31,373,
06/11/2020,366,56,21,350,
06/12/2020,410,59,24,351,
06/13/2020,197,38,15,344,
06/14/2020,180,43,24,341,
06/15/2020,380,56,20,331,
06/16/2020,420,62,18,331,
06/17/2020,356,50,20,330,
06/18/2020,378,56,17,332,
06/19/2020,362,53,16,325,
06/20/2020,203,30,18,326,
06/21/2020,172,42,28,324,
06/22/2020,398,54,25,327,
06/23/2020,383,46,27,322,
06/24/2020,383,49,25,326,
06/25/2020,299,45,19,314,
06/26/2020,314,41,20,307,
06/27/2020,207,40,21,308,
06/28/2020,203,35,19,312,
06/29/2020,439,50,23,318,
06/30/2020,443,49,22,327,
07/01/2020,397,43,12,329,
07/02/2020,418,48,23,346,
07/03/2020,237,28,21,335,
07/04/2020,120,32,14,322,
07/05/2020,154,25,16,315,
07/06/2020,434,60,16,315,
07/07/2020,461,49,13,317,
07/08/2020,437,32,20,323,
07/09/2020,392,50,10,319,
07/10/2020,310,43,10,330,
07/11/2020,257,32,13,349,
07/12/2020,224,28,11,359,
07/13/2020,484,49,17,366,
07/14/2020,401,41,10,358,
07/15/2020,440,44,13,358,
07/16/2020,417,36,8,362,
07/17/2020,419,54,13,377,
07/18/2020,218,29,10,372,
07/19/2020,175,33,7,365,
07/20/2020,402,34,11,353,
07/21/2020,339,28,11,344,
07/22/2020,330,38,8,329,
07/23/2020,309,38,9,313,
07/24/2020,300,40,6,296,
07/25/2020,153,34,11,287,
07/26/2020,140,27,8,282,
07/27/2020,315,43,5,269,
07/28/2020,313,40,12,266,
07/29/2020,289,30,5,260,
07/30/2020,271,36,4,254,
07/31/2020,264,33,5,249,
08/01/2020,189,31,8,254,
08/02/2020,137,34,2,254,
08/03/2020,348,41,3,259,
08/04/2020,187,39,6,241,
08/05/2020,300,38,8,242,
08/06/2020,295,34,6,246,
08/07/2020,258,27,4,245,
08/08/2020,160,17,6,241,
08/09/2020,133,27,3,240,
08/10/2020,310,33,6,235,
08/11/2020,264,26,6,246,
08/12/2020,320,36,2,249,
08/13/2020,276,40,3,246,
08/14/2020,278,40,4,249,
08/15/2020,151,23,7,247,
08/16/2020,140,24,5,248,
08/17/2020,329,33,6,251,
08/18/2020,282,43,2,254,
08/19/2020,257,32,2,245,
08/20/2020,227,35,7,238,
08/21/2020,252,31,3,234,
08/22/2020,136,26,6,232,
08/23/2020,150,21,4,233,
08/24/2020,297,31,8,229,
08/25/2020,282,41,5,229,
08/26/2020,313,26,6,237,
08/27/2020,269,31,1,243,
08/28/2020,279,22,6,247,
08/29/2020,128,22,4,245,
08/30/2020,183,19,9,250,
08/31/2020,311,40,3,252,
09/01/2020,296,22,5,254,
09/02/2020,274,23,7,249,
09/03/2020,273,21,6,249,
09/04/2020,229,32,4,242,
09/05/2020,156,20,3,246,
09/06/2020,207,24,7,249,
09/07/2020,218,25,3,236,
09/08/2020,393,25,2,250,
09/09/2020,352,28,3,261,
09/10/2020,322,26,3,268,
09/11/2020,313,34,4,280,
09/12/2020,201,14,6,287,
09/13/2020,257,16,3,294,
09/14/2020,433,29,5,324,
09/15/2020,340,32,3,317,
09/16/2020,366,47,7,319,
09/17/2020,357,27,4,324,
09/18/2020,287,38,4,320,
09/19/2020,160,23,5,314,
09/20/2020,157,24,3,300,
09/21/2020,513,23,3,311,
09/22/2020,408,31,3,321,
09/23/2020,532,41,4,345,
09/24/2020,467,33,2,361,
09/25/2020,455,48,4,385,
09/26/2020,278,31,6,401,
09/27/2020,381,32,2,433,
09/28/2020,433,35,4,422,
09/29/2020,688,50,8,462,
09/30/2020,587,50,7,470,
10/01/2020,615,36,5,491,
10/02/2020,595,46,4,511,
10/03/2020,273,26,5,510,
10/04/2020,338,44,7,504,
10/05/2020,848,53,3,563,
10/06/2020,565,50,2,546,
10/07/2020,540,46,4,539,
10/08/2020,518,42,5,525,
10/09/2020,519,54,3,514,
10/10/2020,308,34,4,519,
10/11/2020,279,44,8,511,
10/12/2020,510,47,8,463,
10/13/2020,581,54,3,465,
10/14/2020,572,57,6,470,
10/15/2020,596,71,9,481,
10/16/2020,498,45,6,478,
10/17/2020,357,39,6,485,
10/18/2020,407,42,4,503,
10/19/2020,619,61,7,519,
10/20/2020,597,71,6,521,
10/21/2020,644,49,5,531,
10/22/2020,742,43,2,552,
10/23/2020,584,57,4,564,
10/24/2020,374,52,1,567,
10/25/2020,358,43,9,560,
10/26/2020,677,52,3,568,
10/27/2020,718,42,8,585,
10/28/2020,744,38,4,600,
10/29/2020,588,44,4,578,
10/30/2020,610,50,9,581,
10/31/2020,379,41,4,582,
11/01/2020,463,44,9,597,6000
11/02/2020,877,55,9,626,6000
11/03/2020,756,58,11,631,6000
11/04/2020,860,47,6,648,6000
11/05/2020,581,37,6,647,6000
11/06/2020,305,3,5,603,6000
11/07/2020,21,0,0,552,6000
